"tucaseid","age","sex","edu","race","hispanic","metro","social_time","num_children","weekly_earn","diary_date","famincome","hh_size"
20140101140007,20,"F","2. high school diploma","White only","Yes","Yes",30,1,NA,20140126,"1. < $5,000",1
20140101140011,16,"F","1. < high school diploma","Black only","No","Yes",200,1,1846.15,20140130,"11. $40,000 to $49,999",2
20140101140028,65,"F","1. < high school diploma","White only","Yes","Yes",255,3,NA,20140127,"10. $35,000 to $39,999",6
20140101140063,50,"F","2. high school diploma","Black only","No","No",460,0,NA,20140126,"1. < $5,000",1
20140101140168,23,"F","2. high school diploma","Black only","No","No",120,1,NA,20140129,"3. $7,500 to $9,999",2
20140101140537,85,"M","1. < high school diploma","Black only","No","Yes",1140,0,NA,20140126,"13. $60,000 to $74,999",2
20140101140559,27,"M","5. bachelor's degree","White only","No","No",105,1,800,20140126,"11. $40,000 to $49,999",3
20140101140610,28,"M","4. associate degree","White only","No","Yes",180,1,1000,20140126,"14. $75,000 to $99,999",2
20140101140614,63,"F","3. some college","White only","No","Yes",582,0,144.9,20140126,"9. $30,000 to $34,999",1
20140101140639,85,"M","6. master's degree","White only","No","Yes",607,0,NA,20140130,"15. $100,000 to $149,999",1
20140101140665,66,"F","2. high school diploma","White only","No","Yes",430,0,730.76,20140126,"13. $60,000 to $74,999",2
20140101140685,54,"M","2. high school diploma","White only","No","Yes",655,0,NA,20140126,"7. $20,000 to $24,999",2
20140101140702,31,"F","2. high school diploma","White only","Yes","Yes",265,3,NA,20140131,"4. $10,000 to $12,499",3
20140101140725,35,"M","6. master's degree","White only","No","Yes",47,1,2884.61,20140127,"16. >= $150,000",3
20140101140759,80,"M","1. < high school diploma","White only","No","Yes",710,0,NA,20140130,"11. $40,000 to $49,999",2
20140101140792,37,"M","3. some college","Other","No","Yes",540,0,NA,20140129,"9. $30,000 to $34,999",2
20140101140804,41,"F","4. associate degree","White only","No","Yes",120,2,672.06,20140130,"14. $75,000 to $99,999",4
20140101140836,85,"F","1. < high school diploma","White only","No","Yes",255,0,NA,20140126,"7. $20,000 to $24,999",1
20140101140852,67,"M","5. bachelor's degree","White only","No","Yes",510,0,NA,20140126,"9. $30,000 to $34,999",1
20140101140854,21,"F","3. some college","White only","Yes","Yes",688,0,NA,20140126,"6. $15,000 to $19,999",2
20140101140872,45,"F","3. some college","White only","No","Yes",0,3,1096.15,20140129,"14. $75,000 to $99,999",6
20140101140875,62,"M","5. bachelor's degree","White only","No","Yes",395,0,NA,20140129,"13. $60,000 to $74,999",2
20140101140876,67,"F","2. high school diploma","White only","No","Yes",265,0,200,20140126,"12. $50,000 to $59,999",2
20140101140885,80,"F","4. associate degree","White only","No","Yes",280,0,NA,20140128,"1. < $5,000",1
20140101140911,61,"F","3. some college","White only","No","Yes",315,0,NA,20140129,"16. >= $150,000",2
20140101140940,49,"M","2. high school diploma","White only","No","Yes",665,1,NA,20140126,"14. $75,000 to $99,999",4
20140101140958,26,"F","2. high school diploma","White only","No","Yes",10,2,360,20140127,"14. $75,000 to $99,999",3
