Pcredit,UorG,Year,Major,Gender,Height,Weight,Handedness,Politics,Political_Party,SAT_CR,SAT_M,SAT_W,High school GPA,College GPA,Television,Web,Exercise,Academics,Attendance,Computer,Pulse,Haircut,TimeMachine
0.8,Graduate student,1 = freshman or first year grad,"Physical sciences, engineering, or math",Female,62,130,Right handed,Somewhat liberal,Democratic,700,800,750,4,3.8,0,120,10,240,0.9,Windows,68,30,30 AD
1,Graduate student,2 = sophomore or 2nd year grad,Life sciences,Male,69,240,Right handed,Moderate,Other party,740,680,700,3.62,3.7,45,30,10,240,0.97,Mac,87,15,1988
1,Undergraduate student,4 = senior or 4th year grad,Social sciences,Male,75,170,Right handed,Somewhat conservative,Republican,800,780,800,4.4,3.95,5,90,20,240,1,Mac,NA,20,1980
0.5,Undergraduate student,4 = senior or 4th year grad,Life sciences,Male,69,202.6,Right handed,Somewhat liberal,Democratic,800,800,790,4,3.92,38.6,360,40,45,0.95,Windows,,35,
1,Graduate student,1 = freshman or first year grad,Life sciences,Female,64,130,Right handed,Moderate,Not interested in politics,,,,3.9,3.9,60,100,30,360,1,Windows,,10,1200
1,Undergraduate student,3 = junior or 3rd year grad,"Physical sciences, engineering, or math",Female,62,,Right handed,Somewhat liberal,Democratic,720,720,720,4,,60,120,0,0,0.9,Mac,60,25,2000
1,Graduate student,1 = freshman or first year grad,Social sciences,Female,65,155,Right handed,Very liberal,Democratic,730,760,720,4.25,3.9,45,90,30,120,1,Mac,72,40,1989
0.8,Undergraduate student,3 = junior or 3rd year grad,,Female,,,Right handed,Moderate,Not interested in politics,,,,,,,,,,,,,,
0.75,Graduate student,1 = freshman or first year grad,Social sciences,Male,69,150,Right handed,Moderate,Democratic,790,600,760,3.95,3.86,15,30,60,480,0.95,Mac,54,13,1775
1,Undergraduate student,2 = sophomore or 2nd year grad,"Physical sciences, engineering, or math",Male,"6' 1""",180,Right handed,Somewhat liberal,Democratic,700,800,800,4,3.88,30,60,30,360,0.75,Mac,72,20,2015
1,Undergraduate student,3 = junior or 3rd year grad,"Physical sciences, engineering, or math",Female,66,140,Right handed,Somewhat liberal,Democratic,800,700,740,4.4,3.4,20,30,30,120,0.9,Mac,66,120,1780
1,Undergraduate student,3 = junior or 3rd year grad,"Physical sciences, engineering, or math",Male,75,190,Right handed,Moderate,Democratic,800,770,790,3.75,3.75,0,50,90,180,1,Mac,68,30,1954
1,Undergraduate student,2 = sophomore or 2nd year grad,Life sciences,Female,61.5,125,Ambidextrous,Moderate,Not interested in politics,740,800,700,4,3.93,0,120,0,300,0.6,Windows,67,3,1500
1,Undergraduate student,2 = sophomore or 2nd year grad,"Physical sciences, engineering, or math",Male,71,145,Right handed,Somewhat liberal,Democratic,730,760,780,4,3.87,10,180,90,75,1,Mac,66,25,1968
1,Undergraduate student,2 = sophomore or 2nd year grad,"Physical sciences, engineering, or math",Male,68,135,Right handed,Somewhat liberal,Democratic,760,760,740,3.99,3.88,0,45,60,300,0.99,Mac,55,20,
0.5,Undergraduate student,4 = senior or 4th year grad,Life sciences,Male,72,165,Right handed,Very liberal,Democratic,760,720,760,4,3.62,0,100,0,180,0.95,Mac,72,15,2008
1,Undergraduate student,4 = senior or 4th year grad,Social sciences,Male,69,134,Right handed,Very liberal,Democratic,750,730,720,,3.59,0,180,30,120,0.9,Mac,74,20,600 AD
0.99,Undergraduate student,2 = sophomore or 2nd year grad,Social sciences,Male,74,158,Right handed,Somewhat liberal,Other party,,,,3.75,3.72,0.33,5,60,120,0.98,Mac,,30,
0.99,Undergraduate student,2 = sophomore or 2nd year grad,"Physical sciences, engineering, or math",Female,67,140,Right handed,Somewhat conservative,Other party,800,770,790,3.9,3.8,90,90,30,150,0.95,Mac,60,115,1984
0.5,Undergraduate student,4 = senior or 4th year grad,Social sciences,Female,56,135,Right handed,Somewhat conservative,Not interested in politics,720,800,720,3.9,3.6,30,60,60,,0.95,Mac,55,35,1799
1,Undergraduate student,2 = sophomore or 2nd year grad,"Physical sciences, engineering, or math",Female,66,135,Right handed,Very liberal,Democratic,710,800,800,3.94,3.94,5,30,30,360,0.9,Mac,80,100,1925
1,Graduate student,,Social sciences,Male,71,141,Right handed,Moderate,Not interested in politics,,,,,3.8,0,240,60,300,0.9,Windows,80,30,2008
1,Undergraduate student,2 = sophomore or 2nd year grad,"Physical sciences, engineering, or math",Male,73,186,Right handed,Somewhat liberal,Not interested in politics,800,800,790,4,3.52,15,60,30,150,0.9,Mac,71,20,55
