"year","month","day","FB","GOOG","MSFT"
"2013","01","02","28","723.25123","27.620001"
"2013","01","03","27.77","723.671256","27.25"
"2013","01","04","28.76","737.971262","26.74"
"2013","01","07","29.42","734.751286","26.690001"
"2013","01","08","29.059999","733.301227","26.549999"
"2013","01","09","30.59","738.121237","26.700001"
"2013","01","10","31.299999","741.481263","26.459999"
"2013","01","11","31.719999","739.99126","26.83"
"2013","01","14","30.950001","723.25123","26.889999"
"2013","01","15","30.1","724.931273","27.209999"
"2013","01","16","29.85","715.191211","27.040001"
"2013","01","17","30.139999","711.321223","27.25"
"2013","01","18","29.66","704.511235","27.25"
"2013","01","22","30.73","702.871197","27.15"
"2013","01","23","30.82","741.501296","27.610001"
"2013","01","24","31.08","754.211317","27.629999"
"2013","01","25","31.540001","753.671274","27.879999"
"2013","01","28","32.470001","750.731274","27.91"
"2013","01","29","30.790001","753.681322","28.01"
"2013","01","30","31.24","753.831296","27.85"
"2013","01","31","30.98","755.691272","27.450001"
"2013","02","01","29.73","775.601349","27.93"
"2013","02","04","28.110001","759.021279","27.440001"
"2013","02","05","28.639999","765.741331","27.5"
"2013","02","06","29.049999","770.171333","27.34"
"2013","02","07","28.65","773.951324","27.280001"
"2013","02","08","28.549999","785.371369","27.549999"
"2013","02","11","28.26","782.421322","27.860001"
"2013","02","12","27.370001","780.701335","27.879999"
"2013","02","13","27.91","782.861321","28.030001"
"2013","02","14","28.5","787.82138","28.040001"
"2013","02","15","28.32","792.891346","28.01"
"2013","02","19","28.93","806.851398","28.049999"
"2013","02","20","28.459999","792.461334","27.870001"
"2013","02","21","27.280001","795.531336","27.49"
"2013","02","22","27.129999","799.711381","27.76"
"2013","02","25","27.27","790.771365","27.370001"
"2013","02","26","27.389999","790.13134","27.370001"
"2013","02","27","26.870001","799.781345","27.809999"
"2013","02","28","27.25","801.201384","27.799999"
"2013","03","01","27.780001","806.191401","27.950001"
"2013","03","04","27.719999","821.501406","28.15"
"2013","03","05","27.52","838.601424","28.35"
"2013","03","06","27.450001","831.381396","28.09"
"2013","03","07","28.58","832.601408","28.139999"
"2013","03","08","27.959999","831.521445","28"
"2013","03","11","28.139999","834.821433","27.870001"
"2013","03","12","27.83","827.611391","27.91"
"2013","03","13","27.08","825.311416","27.92"
"2013","03","14","27.040001","821.541411","28.139999"
"2013","03","15","26.65","814.301411","28.040001"
"2013","03","18","26.49","807.791372","28.1"
"2013","03","19","26.549999","811.321406","28.18"
"2013","03","20","25.860001","814.71139","28.32"
"2013","03","21","25.74","811.261367","28.110001"
"2013","03","22","25.73","810.311407","28.25"
"2013","03","25","25.129999","809.641362","28.16"
"2013","03","26","25.209999","812.421402","28.16"
"2013","03","27","26.09","802.661367","28.370001"
"2013","03","28","25.58","794.191369","28.610001"
"2013","04","01","25.530001","801.191398","28.610001"
"2013","04","02","25.42","813.041394","28.799999"
"2013","04","03","26.25","806.201387","28.559999"
"2013","04","04","27.07","795.071366","28.6"
"2013","04","05","27.389999","783.051362","28.700001"
"2013","04","08","26.85","774.851354","28.59"
"2013","04","09","26.59","777.651304","29.610001"
"2013","04","10","27.57","790.181331","30.280001"
"2013","04","11","28.02","790.391345","28.940001"
"2013","04","12","27.4","790.051329","28.790001"
"2013","04","15","26.52","781.931333","28.690001"
"2013","04","16","26.92","793.37135","28.969999"
"2013","04","17","26.629999","782.561372","28.83"
"2013","04","18","25.690001","765.911339","28.790001"
"2013","04","19","25.73","799.871342","29.77"
"2013","04","22","25.969999","800.111374","30.83"
"2013","04","23","25.98","807.901403","30.6"
"2013","04","24","26.110001","813.451373","31.76"
"2013","04","25","26.139999","809.101381","31.940001"
"2013","04","26","26.85","801.421383","31.790001"
"2013","04","29","26.98","819.061382","32.610001"
"2013","04","30","27.77","824.571408","33.099998"
"2013","05","01","27.43","820.431429","32.720001"
"2013","05","02","28.969999","829.611416","33.16"
"2013","05","03","28.309999","845.721469","33.490002"
"2013","05","06","27.57","861.551483","33.75"
"2013","05","07","26.889999","857.231449","33.310001"
"2013","05","08","27.120001","873.631526","32.990002"
"2013","05","09","27.040001","871.481464","32.66"
"2013","05","10","26.68","880.2315","32.689999"
"2013","05","13","26.82","877.531533","33.029999"
"2013","05","14","27.07","887.101527","33.529999"
"2013","05","15","26.6","915.89158","33.849998"
"2013","05","16","26.129999","903.871576","34.080002"
"2013","05","17","26.25","909.181575","34.869999"
"2013","05","20","25.76","908.531564","35.080002"
"2013","05","21","25.66","906.971536","34.849998"
"2013","05","22","25.16","889.421534","34.610001"
"2013","05","23","25.059999","882.79154","34.150002"
"2013","05","24","24.309999","873.321468","34.27"
"2013","05","28","24.1","881.271518","35.02"
"2013","05","29","23.32","868.311479","34.880001"
"2013","05","30","24.549999","870.761489","35.029999"
"2013","05","31","24.35","871.221521","34.900002"
"2013","06","03","23.85","867.63151","35.59"
"2013","06","04","23.52","859.101473","34.990002"
"2013","06","05","22.9","859.701493","34.779999"
"2013","06","06","22.969999","864.641457","34.959999"
"2013","06","07","23.290001","879.731524","35.669998"
"2013","06","10","24.33","890.22152","35.470001"
"2013","06","11","24.030001","879.811535","34.84"
"2013","06","12","23.77","871.981501","35"
"2013","06","13","23.73","877.001476","34.720001"
"2013","06","14","23.629999","875.041517","34.400002"
"2013","06","17","24.02","886.251549","35"
"2013","06","18","24.209999","900.621519","34.98"
"2013","06","19","24.309999","900.681558","34.59"
"2013","06","20","23.9","884.741513","33.490002"
"2013","06","21","24.530001","880.931503","33.27"
"2013","06","24","23.940001","869.791496","33.720001"
"2013","06","25","24.25","866.201484","33.669998"
"2013","06","26","24.16","873.651498","34.349998"
"2013","06","27","24.66","877.071501","34.619999"
"2013","06","28","24.879999","880.371488","34.540001"
"2013","07","01","24.809999","887.88154","34.360001"
"2013","07","02","24.41","882.311537","33.939999"
"2013","07","03","24.52","886.431543","34.009998"
"2013","07","05","24.370001","893.491549","34.209999"
"2013","07","08","24.709999","905.091527","34.330002"
"2013","07","09","25.48","905.241563","34.349998"
"2013","07","10","25.799999","905.991557","34.700001"
"2013","07","11","25.809999","920.241572","35.689999"
"2013","07","12","25.91","923.001578","35.669998"
"2013","07","15","26.280001","924.691608","36.169998"
"2013","07","16","26.32","919.611594","36.27"
"2013","07","17","26.65","918.551603","35.740002"
"2013","07","18","26.18","910.681564","35.439999"
"2013","07","19","25.879999","896.601557","31.4"
"2013","07","22","26.049999","910.701536","32.009998"
"2013","07","23","26.129999","903.801551","31.82"
"2013","07","24","26.51","902.901521","31.959999"
"2013","07","25","34.360001","887.701547","31.389999"
"2013","07","26","34.009998","885.351519","31.620001"
"2013","07","29","35.43","882.271531","31.540001"
"2013","07","30","37.630001","890.921523","31.85"
"2013","07","31","36.799999","887.751538","31.84"
"2013","08","01","37.490002","904.221578","31.67"
"2013","08","02","38.049999","906.571544","31.889999"
"2013","08","05","39.189999","905.00153","31.700001"
"2013","08","06","38.549999","896.571537","31.58"
"2013","08","07","38.869999","890.651532","32.060001"
"2013","08","08","38.540001","892.661544","32.889999"
"2013","08","09","38.5","890.4115","32.700001"
"2013","08","12","38.220001","885.511541","32.869999"
"2013","08","13","37.02","881.251485","32.23"
"2013","08","14","36.650002","869.811468","32.349998"
"2013","08","15","36.560001","859.661487","31.790001"
"2013","08","16","37.080002","856.911467","31.799999"
"2013","08","19","37.810001","865.651456","31.389999"
"2013","08","20","38.41","865.421471","31.620001"
"2013","08","21","38.32","869.331464","31.610001"
"2013","08","22","38.549999","873.711475","32.389999"
"2013","08","23","40.549999","870.211522","34.75"
"2013","08","26","41.34","866.391464","34.150002"
"2013","08","27","39.639999","850.151471","33.259998"
"2013","08","28","40.549999","848.551438","33.02"
"2013","08","29","41.279999","855.431451","33.549999"
"2013","08","30","41.290001","846.901475","33.400002"
"2013","09","03","41.869999","860.381462","31.879999"
"2013","09","04","41.779999","871.6315","31.200001"
"2013","09","05","42.66","879.561517","31.23"
"2013","09","06","43.950001","879.581489","31.15"
"2013","09","09","44.040001","888.051548","31.66"
"2013","09","10","43.599998","888.67154","32.389999"
"2013","09","11","45.040001","896.191517","32.740002"
"2013","09","12","44.75","893.061537","32.689999"
"2013","09","13","44.310001","889.071533","33.029999"
"2013","09","16","42.509998","887.761524","32.799999"
"2013","09","17","45.07","886.1115","32.93"
"2013","09","18","45.23","903.321548","33.32"
"2013","09","19","45.98","898.391569","33.639999"
"2013","09","20","47.490002","903.111535","32.790001"
"2013","09","23","47.189999","886.501507","32.740002"
"2013","09","24","48.450001","886.841522","32.450001"
"2013","09","25","49.459999","877.231523","32.509998"
"2013","09","26","50.389999","878.171497","32.77"
"2013","09","27","51.240002","876.391532","33.27"
"2013","09","30","50.23","875.911528","33.279999"
"2013","10","01","50.419998","887.001544","33.580002"
"2013","10","02","50.279999","887.991509","33.919998"
"2013","10","03","49.18","876.091522","33.860001"
"2013","10","04","51.040001","872.351475","33.880001"
"2013","10","07","50.52","865.741514","33.299999"
"2013","10","08","47.139999","853.671458","33.009998"
"2013","10","09","46.77","855.861463","33.07"
"2013","10","10","49.049999","868.241516","33.759998"
"2013","10","11","49.110001","871.991487","34.130001"
"2013","10","14","49.509998","876.111494","34.450001"
"2013","10","15","49.5","882.011527","34.490002"
"2013","10","16","51.139999","898.031521","34.639999"
"2013","10","17","52.209999","888.791495","34.919998"
"2013","10","18","54.220001","1011.411708","34.959999"
"2013","10","21","53.849998","1003.301698","34.990002"
"2013","10","22","52.68","1007.001739","34.580002"
"2013","10","23","51.900002","1031.411782","33.759998"
"2013","10","24","52.450001","1025.551754","33.720001"
"2013","10","25","51.950001","1015.201747","35.73"
"2013","10","28","50.23","1015.001719","35.57"
"2013","10","29","49.400002","1036.241716","35.52"
"2013","10","30","49.009998","1030.421755","35.540001"
"2013","10","31","50.209999","1030.581776","35.41"
"2013","11","01","49.75","1027.041757","35.529999"
"2013","11","04","48.220001","1026.111769","35.939999"
"2013","11","05","50.110001","1021.521745","36.639999"
"2013","11","06","49.119999","1022.751743","38.18"
"2013","11","07","47.560001","1007.951699","37.5"
"2013","11","08","47.529999","1016.031752","37.779999"
"2013","11","11","46.200001","1010.59175","37.59"
"2013","11","12","46.610001","1011.781743","37.360001"
"2013","11","13","48.709999","1032.471772","38.16"
"2013","11","14","48.990002","1035.231717","38.02"
"2013","11","15","49.009998","1033.561782","37.84"
"2013","11","18","45.830002","1031.551709","37.200001"
"2013","11","19","46.360001","1025.201753","36.740002"
"2013","11","20","46.43","1022.311744","37.080002"
"2013","11","21","46.700001","1034.071744","37.400002"
"2013","11","22","46.23","1031.891724","37.57"
"2013","11","25","44.82","1045.931848","37.639999"
"2013","11","26","45.889999","1058.411823","37.349998"
"2013","11","27","46.490002","1063.111877","37.599998"
"2013","11","29","47.009998","1059.591768","38.130001"
"2013","12","02","47.060001","1054.481857","38.450001"
"2013","12","03","46.73","1053.261845","38.310001"
"2013","12","04","48.619999","1058.181837","38.939999"
"2013","12","05","48.34","1057.341785","38"
"2013","12","06","47.939999","1069.871873","38.360001"
"2013","12","09","48.84","1078.141905","38.709999"
"2013","12","10","50.25","1084.661869","38.110001"
"2013","12","11","49.380001","1077.291806","37.610001"
"2013","12","12","51.830002","1069.961809","37.220001"
"2013","12","13","53.32","1060.791808","36.689999"
"2013","12","16","53.810001","1072.981881","36.889999"
"2013","12","17","54.860001","1069.861826","36.52"
"2013","12","18","55.57","1084.751805","36.580002"
"2013","12","19","55.049999","1086.221897","36.25"
"2013","12","20","55.119999","1100.621886","36.799999"
"2013","12","23","57.77","1115.101886","36.619999"
"2013","12","24","57.959999","1111.841904","37.080002"
"2013","12","26","57.73","1117.461899","37.439999"
"2013","12","27","55.439999","1118.401934","37.290001"
"2013","12","30","53.709999","1109.461919","37.290001"
"2013","12","31","54.650002","1120.711956","37.41"
"2014","01","02","54.709999","1113.121955","37.16"
"2014","01","03","54.560001","1105.001897","36.91"
"2014","01","06","57.200001","1117.321972","36.130001"
"2014","01","07","57.919998","1138.861917","36.41"
"2014","01","08","58.23","1141.231977","35.759998"
"2014","01","09","57.220001","1130.241944","35.529999"
"2014","01","10","57.939999","1130.181906","36.040001"
"2014","01","13","55.91","1122.981911","34.98"
"2014","01","14","57.740002","1149.402027","35.779999"
"2014","01","15","57.599998","1148.622013","36.759998"
"2014","01","16","57.189999","1156.221939","36.889999"
